       0          71.99368194         625.55751531       -2766.10379508       -2140.54627978
      10          71.17210863         618.41881444       -2758.97007897       -2140.55126453
      20          68.70977500         597.02344657       -2737.58442905       -2140.56098248
      30          63.86890709         554.96084860       -2695.51937380       -2140.55852520
      40          58.19808833         505.68675679       -2646.22361285       -2140.53685606
      50          55.44367291         481.75347234       -2622.29585084       -2140.54237850
      60          55.32488519         480.72131856       -2621.28041655       -2140.55909800
      70          55.14725289         479.17786068       -2619.73913068       -2140.56127000
      80          54.19210420         470.87851511       -2611.43443742       -2140.55592231
      90          53.40355757         464.02678515       -2604.57472142       -2140.54793627
     100          54.12612746         470.30523923       -2610.85811866       -2140.55287943
     110          55.81138309         484.94852868       -2625.51266577       -2140.56413709
     120          56.86942254         494.14189833       -2634.70494296       -2140.56304463
     130          57.47103825         499.36937412       -2639.92273940       -2140.55336527
     140          59.20407321         514.42782107       -2654.97587295       -2140.54805188
     150          62.85871867         546.18325945       -2686.74023485       -2140.55697540
     160          66.84569060         580.82630302       -2721.40257981       -2140.57627679
     170          68.19056988         592.51204151       -2733.09493160       -2140.58289008
     180          66.46321740         577.50296989       -2718.06176015       -2140.55879026
     190          65.63511151         570.30750702       -2710.85937407       -2140.55186704
     200          66.97758641         581.97235380       -2722.54917033       -2140.57681654
     210          66.89768677         581.27810090       -2721.86493435       -2140.58683344
     220          64.00575738         556.14994916       -2696.71860992       -2140.56866076
     230          61.69723378         536.09104607       -2676.63828631       -2140.54724024
     240          63.11465788         548.40713099       -2688.97645980       -2140.56932881
     250          65.43311851         568.55237750       -2709.13004087       -2140.57766337
     260          66.67827118         579.37158542       -2719.94885290       -2140.57726748
     270          66.92538614         581.51878246       -2722.08886421       -2140.57008176
     280          67.20326247         583.93326688       -2724.50389822       -2140.57063134
     290          67.32301021         584.97376236       -2725.55622210       -2140.58245973
     300          65.86173373         572.27664143       -2712.85296195       -2140.57632052
     310          64.20673751         557.89627781       -2698.45736014       -2140.56108233
     320          64.90092686         563.92813164       -2704.49485551       -2140.56672387
     330          67.13235431         583.31714150       -2723.90013093       -2140.58298944
     340          67.97170974         590.61035230       -2731.20243974       -2140.59208744
     350          66.01203073         573.58258129       -2714.15902104       -2140.57643974
     360          63.63462283         552.92513830       -2693.48555859       -2140.56042029
     370          63.47200747         551.51216344       -2692.07525339       -2140.56308994
     380          65.27689483         567.19494036       -2707.77172804       -2140.57678768
     390          66.87752214         581.10288917       -2721.68946955       -2140.58658039
     400          66.59763843         578.67096250       -2719.27143074       -2140.60046824
     410          63.48698825         551.64233241       -2692.21797790       -2140.57564549
     420          62.47722710         542.86845585       -2683.42660857       -2140.55815272
     430          65.64927364         570.43056270       -2711.03866348       -2140.60810078
     440          66.85121358         580.87429251       -2721.44805646       -2140.57376395
     450          69.41165199         603.12209879       -2743.70438539       -2140.58228660
     460          72.46249897         629.63109521       -2770.22720506       -2140.59610985
     470          72.80042746         632.56737658       -2773.16049428       -2140.59311770
     480          70.76668330         614.89604891       -2755.47567667       -2140.57962776
     490          68.87865077         598.49081854       -2739.05186652       -2140.56104798
     500          70.18437024         609.83629499       -2750.40072248       -2140.56442749
     510          73.66121453         640.04680816       -2780.64092209       -2140.59411393
     520          74.59433692         648.15476579       -2788.75008626       -2140.59532047
     530          72.39381759         629.03431846       -2769.60960234       -2140.57528388
     540          70.22091955         610.15387423       -2750.72323811       -2140.56936389
     550          69.40025392         603.02306025       -2743.59685960       -2140.57379935
     560          69.45575015         603.50527038       -2744.07491874       -2140.56964836
     570          70.41813954         611.86753080       -2752.44734509       -2140.57981429
     580          70.66342805         613.99885769       -2754.58474924       -2140.58589155
     590          69.69519759         605.58584385       -2746.15641143       -2140.57056758
     600          69.52832486         604.13587653       -2744.71491242       -2140.57903588
     610          69.67954776         605.44986151       -2746.01758276       -2140.56772125
     620          70.83017977         615.44777360       -2756.02315613       -2140.57538253
     630          71.81520792         624.00674360       -2764.58687697       -2140.58013337
     640          71.66593293         622.70968405       -2763.28663944       -2140.57695539
     650          71.06556544         617.49305414       -2758.06191933       -2140.56886519
     660          71.60626383         622.19121561       -2762.75583379       -2140.56461818
     670          73.63761292         639.84173236       -2780.42914929       -2140.58741693
     680          73.89924279         642.11505031       -2782.70673082       -2140.59168051
     690          71.63476187         622.43883677       -2763.01080373       -2140.57196696
     700          69.73608677         605.94113246       -2746.50729371       -2140.56616125
     710          69.37241560         602.78117137       -2743.35449579       -2140.57332442
     720          69.35772061         602.65348572       -2743.23531995       -2140.58183423
     730          68.38287365         594.18298071       -2734.76134790       -2140.57836719
     740          67.19079765         583.82495929       -2724.38910580       -2140.56414651
     750          68.09313737         591.66544439       -2732.23232308       -2140.56687869
     760          70.63507705         613.75251408       -2754.34074230       -2140.58822822
     770          71.73637487         623.32175839       -2763.91463543       -2140.59287704
     780          70.99217812         616.85538722       -2757.43233628       -2140.57694906
     790          70.97488471         616.70512371       -2757.28270204       -2140.57757833
     800          71.82616241         624.10192783       -2764.69416016       -2140.59223233
     810          71.47247012         621.02867382       -2761.61239439       -2140.58372057
     820          71.00317285         616.95092112       -2757.51956740       -2140.56864628
     830          72.34067462         628.57255594       -2769.15497503       -2140.58241908
     840          73.91835861         642.28114886       -2782.86675475       -2140.58560589
     850          74.41920922         646.63307045       -2787.24245747       -2140.60938702
     860          71.28676672         619.41508560       -2760.00042920       -2140.58534361
     870          69.13590239         600.72609356       -2741.28314511       -2140.55705154
     880          71.55758247         621.76822027       -2762.36532197       -2140.59710170
     890          72.87150881         633.18500679       -2773.77465818       -2140.58965138
